ID_TRANSAZIONE,ID_CLIENTE,NOME,COGNOME,TELEFONO,EMAIL,INDIRIZZO_RESIDENZA,CITTA_RESIDENZA,NAZIONE_RESIDENZA,RISCHIO_NAZIONE_RESIDENZA,INDIRIZZO_IP,CITTA_LOCALIZZAZIONE,NAZIONE_LOCALIZZAZIONE,RISCHIO_NAZIONE_LOCALIZZAZIONE,N_CARTA_DI_CREDITO,IMPORTO_ORDINE,TIMESTAMP_ORDINE,PRODOTTO,QUANTITA,INDIRIZZO_SPEDIZIONE,CITTA_SPEDIZIONE,NAZIONE_SPEDIZIONE,RISCHIO_NAZIONE_SPEDIZIONE
11,390,Maria,Knapp,1326580780,jon49@frank-phillips.info,"39711 Hammond Well
Maryside, NM 25646",Jasonborough,French Southern Territories,False,195.76.42.129,Nancyville,Sudan,False,1405460198,1605,2020-09-30 03:40:57,Stand-alone foreground encryption,41,"68676 Moran Corner
East Brent, NV 39505",Anthonyborough,Turkey,False
12,247,Elizabeth,Perez,1178798425,scottjoseph@yahoo.com,"8200 Edwards Flat Apt. 222
New Gregoryberg, KS 85117",Jonesshire,Antigua And Barbuda,False,187.52.63.22,West Raymondview,British Indian Ocean Territory,True,1385154985,574,2020-11-06 11:34:09,Cross-platform value-added workforce,20,"5895 Kristy Springs
Lake Ashleymouth, IL 87164",Lake Rebecca,Vanuatu,True
13,385,Michael,Diaz,2090353202,knightdavid@edwards-lewis.org,"91499 Carlos Motorway Apt. 493
Dwaynehaven, MA 37721",Aprilton,United Arab Emirates,True,5.23.136.96,Davidfort,Vietnam,True,2065831747,549,2021-04-08 15:51:36,Innovative user-facing concept,16,"27483 Johnson Radial
Kennethberg, MS 10309",Nathanport,Bahrain,True
14,150,Robert,Thornton,1962727824,cooperann@gmail.com,"PSC 1971, Box 9696
APO AA 87425",Lake Michael,Algeria,False,215.1.19.11,Hensonmouth,Rwanda,True,1763547903,77,2021-08-14 13:20:17,Streamlined exuding flexibility,22,"979 Crystal Place Apt. 536
Justinhaven, WV 63787",East Jose,Wallis And Futuna,True
15,228,Chad,Lynn,1933710214,cheyenne89@yahoo.com,"25008 David Loop
Richardsonshire, HI 79425",Schroederview,Namibia,False,179.251.74.217,West Sarah,New Zealand,True,1523006740,1568,2019-07-24 19:09:02,Switchable responsive capacity,35,"846 Sanchez Mount
Beasleychester, MD 50680",Paulside,Norfolk Island,True
16,74,Amber,Goodwin,1966883926,monicarojas@hotmail.com,"65948 Rodriguez Knoll
Lake Miguelburgh, OH 03020",Port Carolshire,Ethiopia,True,40.252.208.123,Pricefurt,Jordan,False,1582586977,1099,2021-06-16 17:47:39,Diverse full-range contingency,31,"2145 Solis Radial Apt. 128
South Dianechester, KY 66271",Kennedyshire,Egypt,False
17,432,Ralph,Williams,1916848022,ajones@yahoo.com,"223 Nicole Flats Suite 891
Tinaville, SD 65875",Chelseamouth,French Polynesia,True,105.187.135.40,Stephensonfurt,United Kingdom,True,1749611346,1143,2019-08-17 20:49:44,Centralized high-level moratorium,9,"0715 Matthew Burgs Suite 889
New Stephanie, OR 53475",West David,Palestinian Territory,True
18,387,Melissa,Carney,1839708540,bgarcia@green.net,"36537 Daniel Corners
Justinview, OK 06297",Josephmouth,Vietnam,True,202.68.187.111,New Ryanville,Norway,False,1258736243,1535,2020-02-15 22:13:58,Customer-focused 3rdgeneration focus group,28,"537 Nelson Court Suite 909
Hancockchester, MS 63168",Nicolehaven,Mayotte,False
19,178,Tiffany,Ryan,1409534319,criley@williamson.com,"USNS Torres
FPO AA 92210",North Kevinport,Tokelau,True,101.117.17.143,Geraldton,Libyan Arab Jamahiriya,False,1520551022,796,2022-02-10 10:22:04,Versatile radical forecast,3,"66931 Alvarez Route
Christophermouth, KS 22690",Hollyburgh,Egypt,False
20,296,Stacey,Davis,1667112962,vle@ray.biz,"654 Robert Ridges Suite 717
Adkinschester, NC 90572",Ashleyside,Mexico,True,80.92.101.226,Amystad,Djibouti,False,1746631972,758,2022-03-16 03:30:13,Pre-emptive value-added application,41,"513 Medina Stream
South Kathyhaven, MA 42714",South Robert,Bhutan,True
21,225,Joseph,Pittman,2074922720,jennifersingh@hotmail.com,"18411 Neal Street
West Gregory, MS 31384",Johnsonmouth,French Polynesia,True,207.115.76.67,North Stephaniestad,Latvia,True,2108689790,1801,2022-02-21 05:03:18,Public-key multimedia open system,2,"93451 James Coves
West Darrell, SD 84116",Toddton,Sao Tome And Principe,True
22,104,Mary,Gillespie,1423495536,nancy01@gmail.com,"Unit 1644 Box 0083
DPO AP 88706",Lake Jamesmouth,Palestinian Territory,True,74.171.106.206,Schneidershire,Republic Of Moldova,False,2040265155,200,2022-03-13 03:35:19,Versatile bi-directional support,2,"USCGC Greer
FPO AA 96316",Batesmouth,Canada,False
23,238,Melissa,Melendez,1484163179,ztucker@yahoo.com,"3650 Sarah Lock Suite 253
New Lisa, DE 97823",Petersonburgh,New Zealand,True,194.63.245.232,Davidbury,Turkmenistan,True,1477260856,265,2020-03-18 00:26:13,Synchronized full-range open system,27,"PSC 4791, Box 0320
APO AA 95264",Guerreroview,Tuvalu,True
24,421,Louis,Collins,1709224733,marymiller@gmail.com,"130 Smith Route
Stevenshire, NJ 42133",West Annaside,France,False,114.68.31.53,East Terriburgh,Paraguay,True,1426184730,389,2019-12-16 21:40:21,Self-enabling analyzing website,38,"362 Montoya Cove Apt. 103
South Bruce, DE 66261",Brittanyport,Christmas Island,False
25,70,Rebecca,Solis,1713434239,stephen82@foster.net,"0820 Linda Stream
Lake Cassidyport, AL 37647",South Jasontown,Indonesia,False,202.25.144.3,East Jose,Ghana,True,1518956997,1220,2020-01-05 00:52:34,Virtual intangible encryption,47,"616 Miller Landing
West Michaelfurt, NJ 74431",Rogersstad,Puerto Rico,True
26,25,Richard,Sawyer,1284084368,andrea36@yahoo.com,"3543 Jackson Springs
West Roberthaven, MN 16738",South Jacobville,Svalbard And Jan Mayen,True,109.119.197.108,Ruizville,Saint Helena,False,2039779279,1984,2021-01-12 23:51:34,Persevering stable middleware,19,"1426 Ann Forks
Lake Meganburgh, VA 55198",Karenstad,Bhutan,True
27,188,James,Ray,2024293876,fhoover@gmail.com,"309 Wendy Port Apt. 921
Andrewview, CO 85396",Willisburgh,Pakistan,False,88.164.210.173,West Andreaview,Mexico,True,1712829714,269,2021-05-04 06:04:38,Balanced national array,37,"3314 Crystal Freeway Suite 010
Lopezmouth, SD 50540",Rogerland,Faroe Islands,False
28,51,Allen,Smith,1789841078,robinsonrobert@yahoo.com,"66351 Angela Key
Christopherport, KS 69267",Rochabury,Netherlands,False,51.71.176.246,Christineview,Solomon Islands,False,2081340148,1241,2020-12-15 19:57:11,Mandatory human-resource solution,3,"9112 Kimberly Park
Clarkfurt, CO 07705",East Charles,Pitcairn,False
29,37,Jennifer,Pittman,1175340574,sherri41@orr.net,"704 Brown Rapid Suite 350
Gardnertown, CO 13449",South Donnaberg,Georgia,False,138.81.223.125,North Yvette,Hungary,True,1250041896,227,2020-08-02 01:40:31,Optional bottom-line system engine,29,"6116 Mccann Brook Suite 460
Walterhaven, WI 57979",New Colinton,Palau,False
30,103,Teresa,Roberts,1944419585,annbarber@fisher.com,"1615 Thomas Keys Apt. 303
West Andrealand, LA 31515",Watsonside,United States Minor Outlying Islands,True,41.51.198.160,Lake Joshuaville,Democratic People's Republic of Korea,False,1967992760,403,2019-06-20 10:36:50,Mandatory heuristic strategy,45,"03941 Cooper Villages Suite 896
West Rogermouth, WV 12976",Lake Laura,Cote D'ivoire,False
31,270,Jonathan,Rivera,2047844794,johnshaffer@cabrera.com,"9345 Michael Turnpike
East Lauren, KY 08316",South Jamie,Bouvet Island,False,44.87.116.125,Brentview,Macedonia,False,1667603268,1016,2022-04-23 17:16:48,Automated 5thgeneration functionalities,33,"05294 Thomas Mill Apt. 094
West Stephaniefurt, SC 56727",Woodbury,Cayman Islands,True
32,254,Shelby,Torres,1603551672,john23@walker.org,"5497 Wilson Road Suite 043
Martinezfort, SD 72392",Howardport,Libyan Arab Jamahiriya,False,90.148.37.110,Daviesland,Tanzania,True,1302113511,303,2019-08-29 22:38:33,Profound incremental architecture,28,"3656 Rodriguez Highway Apt. 289
South Michael, SD 91824",South Jessicaport,Netherlands Antilles,False
33,108,Martha,Moss,2012752397,emmawhite@miller.com,"23146 Randy Heights
West Davidville, ME 62164",East Lynn,Pitcairn,False,218.4.124.130,Oconnorland,Faroe Islands,False,1896830657,1822,2021-04-18 03:32:22,Streamlined non-volatile focus group,7,"0376 Hughes Parks
Reginashire, TX 91746",Lake Robert,Kyrgyzstan,False
34,89,Lori,Wood,1645918197,michaelschultz@yahoo.com,"018 Nathaniel Via Apt. 091
Port Andrew, UT 83317",West Shannonbury,Cameroon,False,211.195.193.43,Medinashire,Pitcairn,False,1234335499,1733,2022-04-29 22:55:30,Quality-focused mobile protocol,46,"492 Douglas Estates Suite 616
New Natalie, WV 10292",Whiteport,Namibia,False
35,60,Carrie,Harris,1412661101,xdiaz@hotmail.com,"Unit 0233 Box 3653
DPO AE 76355",South Nicolasmouth,Guatemala,True,193.208.174.2,Melissaland,Gibraltar,False,1600238845,1816,2020-04-27 09:51:20,User-centric 24/7 contingency,4,"77074 Irwin Mountains Suite 367
Lopezview, RI 81662",Port Debra,Federated States Of Micronesia,True
36,492,Zachary,Brewer,1706574482,ramirezmichael@gmail.com,"186 Kelsey Lane
New Amandamouth, AZ 50050",West Joy,Niger,True,156.155.193.218,Christianberg,Democratic Republic Of The Congo,False,1269848323,1851,2021-02-01 22:28:32,Team-oriented heuristic infrastructure,48,"9632 Floyd Valley
Johnsonstad, ME 35471",Youngchester,Kiribati,True
37,333,Amy,Williams,1168040168,victoria76@hernandez-russell.com,"779 Nancy Island
West Stevenville, IA 72855",Martinezmouth,Romania,False,7.244.117.19,Jacobshire,Haiti,False,2067376021,1311,2021-06-11 11:08:01,Re-engineered foreground concept,17,"USNV Cooke
FPO AA 47602",Kimview,China,True
38,52,Kyle,Baker,2054913026,brittanyrodriguez@ho.com,"495 Misty Branch Apt. 154
New Ashleytown, NY 36586",Brandifurt,Panama,False,212.222.26.66,Millerland,Botswana,False,1244412497,1642,2019-12-24 19:09:16,Streamlined needs-based website,42,"32621 Shepherd Mews
West Jeremyton, VA 84027",Coxfort,Equatorial Guinea,True
39,402,Rebecca,Stone,1998495951,anna92@gmail.com,"497 Garrett Canyon Suite 461
New Jessicaside, VT 82728",Timothybury,Bouvet Island,False,190.241.218.254,Robertstad,Laos,True,1678476866,998,2020-04-06 20:47:28,Balanced impactful synergy,42,"196 David Loaf Apt. 304
West Eugeneview, ND 12609",West Crystal,Mexico,True
40,55,Monica,Mejia,1852305917,glassderrick@flynn.com,"595 Fry Lakes Apt. 864
South Craigton, CT 93543",West Jasonland,Somalia,False,69.65.116.195,Johnview,Lesotho,True,1229348222,1193,2020-04-16 08:57:39,Adaptive maximized instruction set,2,"885 Kevin Port Suite 773
Lake Eduardo, DC 06590",Port Gina,Martinique,False
41,326,Angela,Bell,1666442860,brenda20@hotmail.com,"6623 Mcdaniel Estate
Yolandachester, NV 40886",Cherylfurt,Fiji,False,45.248.215.76,Port Angela,Japan,True,1177759052,314,2021-04-27 19:39:02,Enterprise-wide holistic pricing structure,46,"08728 Coleman Canyon
Spencerton, NV 14092",Lake Michelleborough,Malawi,False
42,477,Christopher,Barrett,1404226097,dustinshields@gmail.com,"8534 Rivera Burgs
Aaronbury, CO 24567",Carolynchester,Malawi,False,178.69.97.130,Port Tanyatown,Venezuela,True,1951675918,988,2019-10-21 15:53:29,Universal next generation paradigm,30,"989 Mccoy Overpass Suite 445
North Amanda, MT 52855",North Rachel,Estonia,False
43,432,Ralph,Williams,1916848022,ajones@yahoo.com,"223 Nicole Flats Suite 891
Tinaville, SD 65875",Chelseamouth,French Polynesia,True,101.159.136.24,Lewisside,Grenada,False,1455229262,235,2021-11-16 04:33:01,Enterprise-wide didactic info-mediaries,33,"7547 Michael Center Suite 800
Alyssaport, KY 60792",West Jason,Estonia,False
44,378,Christopher,Hall,1911191265,belliott@hotmail.com,"5633 Rivas Gateway
Paulberg, KY 35780",West Philip,Mauritania,False,157.86.33.217,Lake Nicholasberg,Pitcairn,False,1154927006,343,2021-02-03 15:48:02,Fully-configurable holistic Internet solution,16,"392 Scott Course
West Alexandra, VA 93707",Peterville,Macau,False
45,326,Angela,Bell,1666442860,brenda20@hotmail.com,"6623 Mcdaniel Estate
Yolandachester, NV 40886",Cherylfurt,Fiji,False,120.26.209.252,Browntown,Jamaica,True,1615585815,717,2021-09-23 10:09:26,Vision-oriented bandwidth-monitored challenge,49,"61628 Cory Park
East Davidside, WV 07388",East Matthewfort,Brazil,False
46,149,Robert,Williams,1874798124,sfrazier@sanchez-sanchez.info,"801 Heather Loaf Apt. 064
Whiteside, WV 38897",Davidhaven,Uganda,True,88.99.41.187,East Shawn,South Georgia And The South Sandwich Islands,True,1782338283,352,2021-08-19 13:05:34,Fundamental 24hour challenge,24,"09745 Darryl Crescent
Nguyenchester, CT 67837",South Perryburgh,Central African Republic,False
47,139,Brianna,Copeland,1746594951,jordanpamela@ortiz-lopez.com,"107 White Vista Apt. 922
Port Alexis, DC 87914",North Dianabury,American Samoa,True,216.77.127.177,Juliabury,Russian Federation,True,1738251195,799,2019-06-15 09:29:12,Organized grid-enabled service-desk,29,"394 Roberts Extension Suite 327
North Kristen, FL 98078",Ritafort,Bosnia And Herzegovina,False
48,495,Sandra,Vasquez,1814776932,kathybrown@gmail.com,"296 Harris Street Suite 452
Mccarthyport, IA 62577",Griffinburgh,Zambia,True,220.229.100.87,Terryside,Estonia,False,1968410395,1186,2020-11-01 00:07:36,Adaptive contextually-based moratorium,34,"0472 Smith Camp
Lyonsmouth, AK 57304",North Miguel,Kiribati,True
49,266,Christopher,Coleman,1687063392,matthew05@mason.com,"10462 Thompson Glen Apt. 391
South Rodney, MS 52210",Hernandezville,Syrian Arab Republic,True,169.94.101.16,Port Joseph,Madagascar,False,1810601803,287,2020-10-11 17:17:42,Upgradable foreground middleware,30,"PSC 1104, Box 0232
APO AA 28536",Lake James,Grenada,False
50,51,Allen,Smith,1789841078,robinsonrobert@yahoo.com,"66351 Angela Key
Christopherport, KS 69267",Rochabury,Netherlands,False,212.204.82.5,New Derek,American Samoa,True,2022276511,669,2019-06-20 15:16:31,Advanced 5thgeneration approach,12,"391 William Course
South Allison, LA 18678",Clarkeview,Cayman Islands,True
51,420,Willie,Taylor,1258027591,johnwallace@gmail.com,"63439 Courtney Cove
East Bradley, NJ 61252",Moorechester,Guinea-bissau,False,154.150.219.160,Melissaborough,Mayotte,False,1262286287,902,2020-11-12 16:05:00,Expanded tangible artificial intelligence,48,"557 Reed Curve
South Kevin, NM 15364",Smithberg,Svalbard And Jan Mayen,True
52,272,Stephanie,Erickson,1411533184,courtney57@thompson.biz,"85389 Erickson Gardens
South Susan, MA 87125",Bowmanland,Nicaragua,False,211.27.132.249,Chambersfort,Northern Mariana Islands,False,2035007494,1623,2020-01-23 10:44:30,Organized cohesive benchmark,16,"618 James Rest
East Douglasport, NV 10858",Cookchester,Lithuania,False
53,128,Nicole,Nicholson,1487464898,sgarcia@gmail.com,"Unit 2984 Box 6754
DPO AP 51233",New Harry,Aruba,True,138.153.55.171,Moralesstad,Cuba,True,1581234872,443,2021-12-29 23:42:01,Versatile zero tolerance approach,31,"3207 Jason Green
Matthewburgh, TN 08584",Dylanview,Bhutan,True
54,379,Melinda,Smith,1438912887,sheryl06@yahoo.com,"7984 Erin Field
Torresmouth, GA 19792",Port Justinland,Barbados,True,189.170.242.67,West Aaron,Latvia,True,1153603035,520,2021-02-08 04:14:16,Fundamental exuding workforce,25,"9474 Hill Expressway
New Jared, WA 16614",Michaelland,Norway,False
55,337,Krystal,Wright,1602023998,jeffery77@sanchez.com,"49509 Paul Lights Apt. 199
Lake Brendaburgh, CA 02245",Lake Crystalmouth,Cote D'ivoire,False,116.168.62.229,Mitchellstad,Portugal,False,1334295603,1306,2021-11-27 08:43:05,Upgradable maximized parallelism,38,"080 Watkins View
Dianestad, WV 58518",Sandersfurt,Niger,True
56,325,Tiffany,Flores,1965770707,moorenathan@thomas.com,"03219 Steven Crest Apt. 239
New Alexandra, NC 63004",Lake Stephen,Albania,True,206.150.189.252,East Thomas,Guam,True,1909847279,327,2021-12-13 00:40:38,Universal disintermediate artificial intelligence,46,"1890 Meagan Isle Apt. 785
Hillview, OH 45463",Brownberg,Portugal,False
57,224,Jordan,Ellis,1803097569,fschwartz@hotmail.com,"14035 Joseph Spur Apt. 789
Nicoleshire, ME 63915",West Brianville,Thailand,False,111.225.139.43,Davidstad,Cambodia,True,1927428816,520,2021-10-15 21:46:44,Streamlined upward-trending secured line,49,"6607 Ellis Dale
Michaelshire, MI 48698",North Drewside,Tanzania,True
58,64,Jesse,Fitzpatrick,1240485691,peter28@hunt.com,"14826 Katherine Stream Apt. 529
Port Elizabethmouth, ME 37979",North Kristi,Tajikistan,False,94.10.20.118,New Donna,Somalia,False,1322006158,1905,2020-10-13 20:37:21,Fundamental regional emulation,38,"219 Omar Gardens Suite 916
Lake Robert, MI 01060",Davidport,Tanzania,True
59,342,Jerry,Nash,2047040135,ashley50@gmail.com,"661 Bryan Points Apt. 686
Ewingborough, AZ 48493",Maryport,Dominican Republic,False,145.40.210.174,Baileychester,Bermuda,False,1932599712,649,2019-10-10 23:08:12,Implemented upward-trending focus group,25,"036 Paul Causeway Suite 685
North Trevor, ND 07856",Thomasport,Armenia,False
60,77,Danielle,Ho,1921025127,joe53@yahoo.com,"3391 Jacob Mission
Hensleymouth, GA 57520",Port Heathermouth,Kazakstan,False,92.171.6.115,Matthewville,Burkina Faso,False,1296532006,1070,2021-05-22 21:17:23,Ergonomic client-driven policy,3,"07702 James Center Suite 173
Tatemouth, ID 42446",Marybury,Niue,True
61,380,Robert,Sanchez,1395266565,ofrank@gmail.com,"2766 Cameron Shores
Owensberg, SC 11473",Mitchelltown,Nicaragua,False,101.103.19.62,South Larry,Honduras,True,1943327569,878,2021-08-30 00:45:44,Versatile intermediate solution,4,"1907 Michael Rest
Lake Rebecca, ME 43296",Turnertown,Cayman Islands,True
62,408,Crystal,Douglas,1185974259,fgomez@lewis-taylor.org,"280 Knight Crossroad Apt. 690
Lake Stevenside, OH 55965",New Richard,Bhutan,True,148.55.28.3,Gregoryside,Spain,True,1271718658,839,2019-09-28 13:03:06,Front-line zero-defect complexity,27,"168 Williams Route
East Stanley, WY 98996",West Michelle,Mauritania,False
63,12,Kevin,Cooper,1800955408,falvarez@yahoo.com,"8143 Gregory Manor Apt. 544
Lake Michellemouth, NC 68900",West Brenda,Vanuatu,True,203.119.151.128,South Brettfort,Cuba,True,1900429195,41,2019-09-25 13:43:40,Programmable transitional website,6,"647 Harrington Island Suite 335
Kyleview, MO 07769",Jeffreyview,Palau,False
64,494,Lindsey,Flores,1582129232,michael87@gmail.com,"4288 Alex Pines Apt. 855
New Jeffport, PA 67571",East Zachary,Guyana,True,158.104.216.156,Lake Kelly,Malawi,False,1759882035,659,2020-04-02 08:24:39,Expanded local leverage,21,"93859 Debbie Prairie Suite 110
Johnathanmouth, GA 96582",Vanessamouth,Ireland,False
65,105,Michael,Knapp,1535787404,kingamy@yahoo.com,"49466 Graham Shores
Mooreland, CT 65144",Josephbury,Comoros,True,120.19.81.111,Crystalmouth,Djibouti,False,1523997982,1181,2021-03-27 18:43:19,Secured full-range methodology,1,"63041 Leah Loop
New Debrafurt, WA 92281",Port Prestonchester,Ghana,True
66,67,April,Elliott,1387416976,nicholascastillo@yahoo.com,"USS Allen
FPO AE 46511",Fryberg,Greece,True,65.250.101.46,Staceyton,Guinea,False,1373092321,1625,2019-08-08 22:09:52,Digitized object-oriented help-desk,9,"8200 Shaw Groves
Ginatown, GA 56176",West James,French Southern Territories,False
67,137,James,Phillips,1674156825,nwest@garcia-allen.biz,"6976 Buchanan Vista Apt. 395
Jesseview, IA 83276",West Michealville,Nepal,False,146.150.219.21,Sydneyshire,Oman,False,1116612275,89,2022-03-27 02:49:32,Robust clear-thinking customer loyalty,45,"83638 Eric Meadow Suite 045
New Richard, KY 08805",Nathanfort,Germany,False
68,58,Gregory,Hernandez,1376939295,xwright@jones-hernandez.com,"0303 Rodgers Roads Apt. 713
Port Victoriafurt, OK 81721",North Stacyshire,Mauritania,False,109.255.159.255,Markland,Iceland,False,1208315912,1463,2020-02-08 08:02:36,Visionary needs-based data-warehouse,20,"0729 Jerry Stream
Lake Donnafurt, NJ 60251",North Anthony,Indonesia,False
69,147,Shirley,Byrd,1634491430,yhall@lucas-evans.com,"89708 Hernandez Harbor Suite 448
Port Latoyabury, AZ 47226",Schneidermouth,Vietnam,True,161.253.200.253,East Johnathanburgh,Kazakstan,False,2027889465,501,2020-10-08 09:18:16,Re-contextualized zero administration support,50,"96620 Kelly Ferry Suite 234
Timothyburgh, WA 58755",Jenniferland,Mayotte,False
70,468,Mark,Myers,1203031134,deannagonzalez@juarez.com,"USNS Glover
FPO AA 13850",Dustinview,Cayman Islands,True,111.218.129.98,Santiagochester,Wallis And Futuna,True,2007080774,1736,2019-08-05 11:40:33,Triple-buffered dynamic architecture,29,"5234 Combs Path Suite 638
Paulmouth, RI 24499",Lopezmouth,Barbados,True
71,186,Rachel,Harris,1902338518,richardvargas@ferrell.com,"84042 Nicole Canyon
Martinchester, CA 07603",North Nicholas,Republic Of Moldova,False,181.2.213.69,West Alexander,Maldives,True,1933304017,1742,2022-01-15 08:12:06,Customer-focused homogeneous matrix,20,"2907 Lee Inlet Apt. 400
New Logan, IN 31674",Gardnerhaven,French Guiana,True
72,146,Christopher,Walker,1209390720,cardenasamy@yahoo.com,"01291 Daniel Glen Suite 237
Jamesfurt, AZ 75616",Port Desireeborough,Latvia,True,173.97.152.22,South Martin,Saint Helena,False,1500683498,1552,2020-08-02 14:51:08,Synergistic clear-thinking secured line,13,"7588 Anna Meadow Apt. 880
Lake Jake, KS 27209",Andreaburgh,Dominica,False
73,294,Patrick,Roach,1384864647,scottmartinez@hotmail.com,"22895 Mckinney Crescent
New Adam, KY 86201",Holtstad,Nigeria,False,203.16.36.85,North Kariville,Botswana,False,1303698091,1406,2021-11-16 11:07:29,Profit-focused disintermediate firmware,13,"71336 Denise Pike
New Tammyville, NY 56504",North Christopher,Vanuatu,True
74,369,Mark,Ruiz,1883755380,qthomas@sharp-bishop.com,"USCGC Fitzpatrick
FPO AA 26418",North Josephview,Morocco,True,4.99.49.218,East Rebecca,Nicaragua,False,1951836246,876,2020-05-30 20:34:09,Implemented discrete frame,40,"PSC 5730, Box 5091
APO AE 06842",North Markmouth,Costa Rica,True
75,69,Joel,Small,1696113072,emma24@mckee.com,"19265 Rodney Corners
Smithton, VT 95272",Garciaview,Ireland,False,174.177.63.254,New Amy,New Caledonia,False,1715243446,526,2020-08-10 00:32:44,Synergized national infrastructure,49,"45014 Jennifer Radial Suite 293
Piercechester, KS 59301",Doylefort,India,True
76,116,Monica,Higgins,1431019555,mbrown@gmail.com,"88626 Steele Extensions
West Emilymouth, NJ 23613",Johnsonmouth,Hungary,True,75.74.24.177,Caseyfort,Belarus,True,1500281549,1917,2021-07-13 23:09:01,Object-based zero tolerance middleware,2,"4752 Susan Ferry
Lake Caitlyn, TX 90294",Port Meghan,Montenegro,False
77,379,Melinda,Smith,1438912887,sheryl06@yahoo.com,"7984 Erin Field
Torresmouth, GA 19792",Port Justinland,Barbados,True,193.193.90.126,Lorettaburgh,Armenia,False,1218465115,108,2020-02-10 22:32:13,Progressive local utilization,11,"PSC 2931, Box 1567
APO AA 43561",Port Michaelside,Saint Pierre And Miquelon,False
